#	centrality	avg_b	error_b	avg_npart	error_npart	avg_nch	error_nch	avg_nc_by_npart_pair
2.500000e+00	2.140251e+00	7.618908e-01	3.783152e+02	1.727551e+01	4.130906e+02	2.449261e+01	2.183844e+00
7.500000e+00	3.956239e+00	3.879459e-01	3.220580e+02	1.477222e+01	3.377318e+02	1.895936e+01	2.097335e+00
1.500000e+01	5.584741e+00	5.422681e-01	2.555560e+02	2.300805e+01	2.551401e+02	2.782874e+01	1.996746e+00
2.500000e+01	7.226521e+00	4.224284e-01	1.858396e+02	1.769872e+01	1.735200e+02	1.997828e+01	1.867417e+00
3.500000e+01	8.557747e+00	3.567354e-01	1.321118e+02	1.372240e+01	1.149064e+02	1.439271e+01	1.739533e+00
4.500000e+01	9.723290e+00	3.152423e-01	8.997045e+01	1.059180e+01	7.238349e+01	1.021447e+01	1.609050e+00
5.500000e+01	1.075614e+01	2.797806e-01	5.810529e+01	7.817361e+00	4.298874e+01	6.842381e+00	1.479684e+00
6.500000e+01	1.169370e+01	2.630190e-01	3.477906e+01	5.718144e+00	2.359208e+01	4.474576e+00	1.356683e+00
7.500000e+01	1.257553e+01	2.466077e-01	1.845915e+01	3.755075e+00	1.150401e+01	2.602207e+00	1.246429e+00
4.000000e+01	1.299885e+01	1.873332e-03	1.248557e+01	2.239305e-02	7.448788e+00	1.456073e-02	1.193184e+00
0.000000e+00	1.300861e+01	3.705491e-03	1.236926e+01	4.402115e-02	7.373218e+00	2.858623e-02	1.192184e+00
0.000000e+00	1.302120e+01	4.062956e-03	1.222036e+01	4.787327e-02	7.276611e+00	3.103355e-02	1.190899e+00
0.000000e+00	1.303425e+01	3.726109e-03	1.206720e+01	4.353421e-02	7.177409e+00	2.817091e-02	1.189573e+00
0.000000e+00	1.304805e+01	3.770925e-03	1.190662e+01	4.368045e-02	7.073593e+00	2.821477e-02	1.188178e+00
1.696888e-313	1.306129e+01	4.063264e-03	1.175392e+01	4.665157e-02	6.975047e+00	3.007876e-02	1.186846e+00
